tmdb_id,title,release_year,is_period_piece,setting_type,setting_confidence,overview,sources_used
405189,Tarkan and the Silver Saddle,1970,False,unknown,0.3,"Atilla the Hun gives a Silver Saddle to Altar as a gift. The intention of Kostok is the get rid of the Huns and seize the valuable saddle. Little Tarkan's foster mother is forced to leave him in a cave.  His cry attracts the attention of a wolf, who raises Tarkan like his own cub.",[]
11462,Suspicion,1941,False,unknown,0.3,"A sheltered heiress falls for a charming playboy and elopes with him, but soon discovers his gambling vice and mounting debts. As his lies deepen and those around them meet mysterious ends, she begins to suspect that her husband’s affection may conceal a deadly motive—and that she could be his next victim.",[]
9929,Asterix and Cleopatra,1968,False,unknown,0.3,"Popular animated hero Asterix and his faithful sidekick Obelix travel to ancient Egypt to help Cleopatra build a new summer home. Cleopatra and Julius Caesar have made a bet, with Caesar wagering the project cannot be completed in a few weeks time. With the help of a magic potion, Asterix comes to the rescue of the Queen of the Nile as Caesar and an angry architect plot against them.",[]
14030,"Hello, Dolly!",1969,False,unknown,0.3,"Dolly Levi is a strong-willed matchmaker who travels to Yonkers, New York in order to see the miserly ""well-known unmarried half-a-millionaire"" Horace Vandergelder. In doing so, she convinces his niece, his niece's intended, and Horace's two clerks to travel to New York City.",[]
213,North by Northwest,1959,False,unknown,0.3,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",[]
210140,How the Cossacks Played Football,1970,False,unknown,0.3,"A group of cossacks travels around Europe, playing football against the teams of different countries, each of which has their very unique playing style.",[]
221,Rebel Without a Cause,1955,False,unknown,0.3,"After moving to a new town, troublemaking teen Jim Stark is supposed to have a clean slate, although being the new kid in town brings its own problems. While searching for some stability, Stark forms a bond with a disturbed classmate, Plato, and falls for local girl Judy. However, Judy is the girlfriend of neighborhood tough, Buzz. When Buzz violently confronts Jim and challenges him to a drag race, the new kid's real troubles begin.",[]
54494,The Sterile Cuckoo,1969,False,unknown,0.3,"Uptight college freshman Jerry Payne finds a carefree friend in zany Pookie. After an awkward meeting on the bus, Pookie quickly works her way into Jerry's life. She makes an unannounced visit to Jerry's campus, and before long annoyance turns to affection, and friendship turns to romance. But with Pookie's increasingly neurotic behavior, how long can this love affair last?",[]
8416,The Conformist,1971,False,unknown,0.3,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",[]
205555,A Girl Called Jules,1970,False,unknown,0.3,"After his Western triumphs, Valerii stepped out of the shadow of Sergio Leone with this distinctly Bergmanesque sexual melodrama.Dionisio is perfect in the title role and this remains her best film, Valerii turns up along the way too. Just when the film hits a period of auto pilot John Steiner turns up in the final reel for a climax that is quite unforgettable. A bit difficult to trace but well worth the effort.",[]
255,Stolen Kisses,1968,False,unknown,0.3,"The third in a series of films featuring François Truffaut's alter-ego, Antoine Doinel, the story resumes with Antoine being discharged from military service. His sweetheart Christine's father lands Antoine a job as a security guard, which he promptly loses. Stumbling into a position assisting a private detective, Antoine falls for his employers' seductive wife, Fabienne, and finds that he must choose between the older woman and Christine.",[]
18688,Charro!,1969,True,unknown,0.3,"Vince Hackett's gang steals a prized victory canon from Mexico and blames the deed on ex-member Jess Wade, who wants to go straight.. On his neck he wore the brand of a killer. On his hip he wore vengeance.. Vince Hackett's gang steals a prized victory canon from Mexico and blames the deed on ex-member Jess Wade, who wants to go straight.. Un uomo chiamato charro. Charro. Elvis interpreta um fora-da-lei regenerado injustamente acusado de roubar o tesouro nacional. Ao atender a um pedido de socorro de sua ex-noiva (Ina Balin), se vê rodeado por seus antigos companheiros de quadrilha, que tentam convencê-lo a retornar à vida do crime. Nesse filme, Elvis canta apenas a música tema 'Charro'.. Charro. A Jess Wade le hacen saber que su antigua novia corre peligro y se dirige a la frontera con México para ayudarla. Sin embargo, la noticia es falsa; se trata de una emboscada que le han tendido sus viejos compañeros de banda... (FILMAFFINITY). De voormalige outlaw Jess Wade wordt onterecht beschuldigd van een diefstal van een kanon bij de Mexicaanse revolutionaire strijdkrachten.Wade wil zijn naam zuiveren en gaat op jacht naar de bandietenbende, die hij verdenkt van de diefstal.. Jess Wade hat vom Banditenleben genug und will ein friedliches Leben an der Seite seiner Freundin Tracey beginnen. Der Job als Hilfssheriff kommt ihm dabei gerade recht. Doch seine ehemaligen Kumpanen Vince und Billy Roy Hackett verübeln Wade den Schritt ins bürgerliche Leben und zwingen ihn, ihnen beim Raub einer vergoldeten Freiheitskanone zu helfen, die für die mexikanischen Revolutionäre von unermesslichem Wert ist. Als Wade abwinkt, schieben sie ihm den Diebstahl in die Schuhe. Nur der Sheriff und Tracey glauben an die Unschuld Wades. Der macht sich auf die Suche nach der goldenen Kanone und versucht seine ehemaligen Gefährten selbst zur Strecke zu bringen. On his neck he wore the brand of a killer. On his hip he wore vengeance.. Vince Hackett's gang steals a prized victory canon from Mexico and blames the deed on ex-member Jess Wade, who wants to go straight.. Un uomo chiamato charro. Charro. Elvis interpreta um fora-da-lei regenerado injustamente acusado de roubar o tesouro nacional. Ao atender a um pedido de socorro de sua ex-noiva (Ina Balin), se vê rodeado por seus antigos companheiros de quadrilha, que tentam convencê-lo a retornar à vida do crime. Nesse filme, Elvis canta apenas a música tema 'Charro'.. Charro. A Jess Wade le hacen saber que su antigua novia corre peligro y se dirige a la frontera con México para ayudarla. Sin embargo, la noticia es falsa; se trata de una emboscada que le han tendido sus viejos compañeros de banda... (FILMAFFINITY). De voormalige outlaw Jess Wade wordt onterecht beschuldigd van een diefstal van een kanon bij de Mexicaanse revolutionaire strijdkrachten.Wade wil zijn naam zuiveren en gaat op jacht naar de bandietenbende, die hij verdenkt van de diefstal.. Jess Wade hat vom Banditenleben genug und will ein friedliches Leben an der Seite seiner Freundin Tracey beginnen. Der Job als Hilfssheriff kommt ihm dabei gerade recht. Doch seine ehemaligen Kumpanen Vince und Billy Roy Hackett verübeln Wade den Schritt ins bürgerliche Leben und zwingen ihn, ihnen beim Raub einer vergoldeten Freiheitskanone zu helfen, die für die mexikanischen Revolutionäre von unermesslichem Wert ist. Als Wade abwinkt, schieben sie ihm den Diebstahl in die Schuhe. Nur der Sheriff und Tracey glauben an die Unschuld Wades. Der macht sich auf die Suche nach der goldenen Kanone und versucht seine ehemaligen Gefährten selbst zur Strecke zu bringen",[]
208640,Remedial Reading Comprehension,1970,False,unknown,0.3,"Landow rejects the dream imagery of the historical trance film for the self-referential present, using macrobiotics, the language of advertising, and a speed-reading test on the definition of hokum. The alienated filmmaker appears, running uphill to distance himself from the lyrical cinema, but remember, ""This is a film about you, not about its maker.""",[]
195841,"Oh, Sun",1973,False,unknown,0.3,An educated native of Mauritania tries to find work in Paris but encounters difficulty because of his race.,[]
194817,Take a Girl Like You,1970,False,unknown,0.3,"Young Jenny heads to the South of England to start a new career as a school teacher. Even before she has had a chance to settle in she meets Patrick, one of the local ""lads"". Within a short time she has her hands full when a number of the local boys take a liking to her. But who will be the lucky one who wins her affections?",[]
152835,Brigade Miscellaneous Steps In,1970,False,unknown,0.3,Brigade Miscellaneous fights crime in a funny and serious way.,[]
71943,House of Dark Shadows,1970,False,unknown,0.3,Barnabas Collins searches for a cure for vampirism in order to marry a woman resembling his long-lost fiancée Josette.,[]
